payment_id,order_id,payment_method,payment_amount,payment_status
PAY00077,ORD00077,Debit Card,78599.64,Paid
PAY00078,ORD00078,UPI,37148.81,Failed
PAY00079,ORD00079,Cash on Delivery,42744.43,Paid
PAY00080,ORD00080,Debit Card,20039.82,Paid
PAY00081,ORD00081,UPI,13870.02,Paid
PAY00082,ORD00082,UPI,40768.65,Paid
PAY00083,ORD00083,Net Banking,45313.4,Paid
PAY00084,ORD00084,Cash on Delivery,81305.89,Paid
PAY00085,ORD00085,Debit Card,37598.89,Paid
PAY00086,ORD00086,Cash on Delivery,42751.62,Paid
PAY00087,ORD00087,UPI,11142.06,Paid
PAY00088,ORD00088,Debit Card,23516.54,Paid
PAY00089,ORD00089,UPI,13037.73,Paid
PAY00090,ORD00090,Credit Card,13582.45,Paid
PAY00091,ORD00091,Cash on Delivery,89675.78,Paid
PAY00092,ORD00092,Net Banking,37665.33,Paid
PAY00093,ORD00093,Debit Card,6357.59,Paid
PAY00094,ORD00094,Cash on Delivery,7160.26,Paid
PAY00095,ORD00095,Credit Card,35272.07,Paid
PAY00096,ORD00096,Cash on Delivery,29832.91,Paid
PAY00097,ORD00097,Cash on Delivery,23451.6,Paid
PAY00098,ORD00098,UPI,40511.66,Paid
PAY00099,ORD00099,Net Banking,148224.13,Paid
PAY00100,ORD00100,Debit Card,93785.82,Paid
PAY00101,ORD00101,UPI,100302.12,Paid
PAY00102,ORD00102,Debit Card,114355.9,Failed
PAY00103,ORD00103,UPI,36149.02,Paid
PAY00104,ORD00104,Credit Card,6361.41,Paid
PAY00105,ORD00105,Cash on Delivery,80337.18,Paid
PAY00106,ORD00106,Credit Card,116077.72,Paid
PAY00107,ORD00107,Credit Card,5578.37,Paid
PAY00108,ORD00108,Credit Card,5950.33,Paid
PAY00109,ORD00109,Credit Card,46078.58,Paid
PAY00110,ORD00110,Credit Card,30918.99,Paid
PAY00111,ORD00111,UPI,55573.69,Paid
PAY00112,ORD00112,Cash on Delivery,16766.75,Paid
PAY00113,ORD00113,Debit Card,12358.11,Paid
PAY00114,ORD00114,UPI,28548.61,Paid
PAY00115,ORD00115,UPI,13818.85,Paid
PAY00116,ORD00116,Net Banking,25352.69,Paid
PAY00117,ORD00117,Credit Card,6106.7,Paid
PAY00118,ORD00118,UPI,18064.15,Paid
PAY00119,ORD00119,Credit Card,2931.93,Paid
PAY00120,ORD00120,UPI,28533.4,Paid
PAY00121,ORD00121,Credit Card,95049.78,Paid
PAY00122,ORD00122,Cash on Delivery,39692.99,Paid
PAY00123,ORD00123,Credit Card,19248.92,Paid
PAY00124,ORD00124,Cash on Delivery,126623.44,Paid
PAY00125,ORD00125,UPI,107364.86,Paid
PAY00126,ORD00126,Debit Card,23871.16,Paid
PAY00127,ORD00127,UPI,3233.7,Paid
PAY00128,ORD00128,UPI,5800.92,Paid
PAY00129,ORD00129,Cash on Delivery,49337.42,Paid
PAY00130,ORD00130,UPI,47755.97,Paid
PAY00131,ORD00131,UPI,25060.0,Paid
PAY00132,ORD00132,UPI,6550.56,Paid
PAY00133,ORD00133,Debit Card,76273.36,Paid
PAY00134,ORD00134,Debit Card,39754.68,Paid
PAY00135,ORD00135,UPI,92537.5,Paid
PAY00136,ORD00136,UPI,76016.08,Paid
PAY00137,ORD00137,Debit Card,49610.8,Paid
PAY00138,ORD00138,Cash on Delivery,36562.63,Paid
PAY00139,ORD00139,UPI,44328.22,Paid
PAY00140,ORD00140,Credit Card,47586.78,Paid
PAY00141,ORD00141,UPI,85867.01,Paid
PAY00142,ORD00142,Debit Card,64882.53,Paid
PAY00143,ORD00143,Credit Card,31086.54,Paid
PAY00144,ORD00144,Debit Card,118317.94,Paid
PAY00145,ORD00145,Credit Card,72659.98,Paid
PAY00146,ORD00146,Credit Card,35744.57,Paid
PAY00147,ORD00147,Net Banking,31733.33,Paid
PAY00148,ORD00148,UPI,2529.01,Failed
PAY00149,ORD00149,UPI,118390.9,Paid
PAY00150,ORD00150,UPI,99241.33,Failed
PAY00151,ORD00151,Credit Card,48948.15,Paid
PAY00152,ORD00152,Cash on Delivery,1940.04,Paid
PAY00153,ORD00153,Debit Card,1107.74,Paid
PAY00154,ORD00154,Cash on Delivery,76919.25,Paid
PAY00155,ORD00155,Credit Card,56442.83,Failed
PAY00156,ORD00156,Credit Card,47713.4,Paid
PAY00157,ORD00157,Net Banking,135909.33,Paid
PAY00158,ORD00158,UPI,27353.59,Paid
PAY00159,ORD00159,Credit Card,23872.96,Paid
PAY00160,ORD00160,Credit Card,26239.57,Paid
PAY00161,ORD00161,Credit Card,36161.49,Paid
PAY00162,ORD00162,Debit Card,36165.52,Paid
PAY00163,ORD00163,UPI,22323.6,Paid
PAY00164,ORD00164,Credit Card,11030.91,Paid
PAY00165,ORD00165,Debit Card,12036.94,Paid
PAY00166,ORD00166,UPI,45110.14,Failed
PAY00167,ORD00167,Net Banking,51434.54,Paid
PAY00168,ORD00168,Net Banking,75687.79,Paid
PAY00169,ORD00169,UPI,10739.63,Paid
PAY00170,ORD00170,UPI,55701.7,Paid
PAY00171,ORD00171,UPI,13258.28,Paid
PAY00172,ORD00172,UPI,44088.07,Paid
PAY00173,ORD00173,UPI,37905.32,Paid
PAY00174,ORD00174,UPI,30536.98,Paid
PAY00175,ORD00175,UPI,19966.87,Paid
PAY00176,ORD00176,Net Banking,111924.79,Paid
PAY00177,ORD00177,UPI,45539.42,Paid
PAY00178,ORD00178,Debit Card,153645.13,Failed
PAY00179,ORD00179,Credit Card,43723.37,Paid
PAY00180,ORD00180,UPI,92609.57,Paid
PAY00181,ORD00181,Debit Card,20098.92,Paid
PAY00182,ORD00182,Credit Card,11515.13,Paid
PAY00183,ORD00183,Debit Card,21740.82,Paid
PAY00184,ORD00184,Credit Card,41947.8,Paid
PAY00185,ORD00185,UPI,2982.76,Paid
PAY00186,ORD00186,Cash on Delivery,3209.82,Paid
PAY00187,ORD00187,Credit Card,28198.81,Paid
PAY00188,ORD00188,Credit Card,90000.72,Paid
PAY00189,ORD00189,UPI,23517.87,Paid
PAY00190,ORD00190,UPI,46117.56,Paid
PAY00191,ORD00191,UPI,6377.47,Paid
PAY00192,ORD00192,Debit Card,57175.42,Paid
PAY00193,ORD00193,UPI,46117.66,Paid
PAY00194,ORD00194,Credit Card,21151.33,Paid
PAY00195,ORD00195,UPI,79362.92,Paid
PAY00196,ORD00196,Credit Card,77636.43,Paid
PAY00197,ORD00197,UPI,25263.71,Paid
PAY00198,ORD00198,Credit Card,33589.79,Paid
PAY00199,ORD00199,Cash on Delivery,42939.83,Paid
PAY00200,ORD00200,Debit Card,19059.78,Paid
PAY00201,ORD00201,UPI,33059.65,Paid
PAY00202,ORD00202,Debit Card,47771.49,Paid
PAY00203,ORD00203,Debit Card,21091.21,Paid
PAY00204,ORD00204,Net Banking,33480.16,Paid
PAY00205,ORD00205,UPI,23663.22,Paid
PAY00206,ORD00206,Credit Card,51062.03,Paid
PAY00207,ORD00207,Debit Card,2851.73,Paid
PAY00208,ORD00208,Credit Card,52936.12,Failed
PAY00209,ORD00209,Debit Card,43751.92,Paid
PAY00210,ORD00210,Debit Card,115105.14,Paid
PAY00211,ORD00211,UPI,61717.32,Paid
PAY00212,ORD00212,Credit Card,31998.47,Paid
PAY00213,ORD00213,UPI,67510.92,Paid
PAY00214,ORD00214,UPI,96344.58,Paid
PAY00215,ORD00215,Net Banking,58043.71,Paid
PAY00216,ORD00216,UPI,41415.48,Paid
PAY00217,ORD00217,UPI,27912.45,Paid
PAY00218,ORD00218,Credit Card,124706.9,Paid
PAY00219,ORD00219,Debit Card,8377.72,Paid
PAY00220,ORD00220,Cash on Delivery,75165.45,Paid
PAY00221,ORD00221,UPI,61909.91,Paid
PAY00222,ORD00222,Credit Card,36740.38,Paid
PAY00223,ORD00223,Net Banking,31735.46,Paid
PAY00224,ORD00224,Debit Card,29741.97,Paid
PAY00225,ORD00225,Credit Card,88383.52,Paid
PAY00226,ORD00226,Debit Card,66671.95,Paid
PAY00227,ORD00227,Cash on Delivery,71124.28,Paid
PAY00228,ORD00228,Debit Card,76886.07,Paid
PAY00229,ORD00229,Credit Card,25280.74,Paid
PAY00230,ORD00230,Cash on Delivery,39821.42,Paid
PAY00231,ORD00231,Debit Card,17919.54,Paid
PAY00232,ORD00232,Net Banking,76086.1,Failed
PAY00233,ORD00233,Net Banking,137032.23,Paid
PAY00234,ORD00234,UPI,16924.34,Paid
PAY00235,ORD00235,Credit Card,115140.22,Paid
PAY00236,ORD00236,UPI,75532.9,Paid
PAY00237,ORD00237,UPI,31681.23,Paid
PAY00238,ORD00238,Debit Card,106834.24,Paid
PAY00239,ORD00239,UPI,76103.1,Paid
PAY00240,ORD00240,UPI,17155.56,Paid
PAY00241,ORD00241,UPI,72903.78,Failed
PAY00242,ORD00242,Debit Card,15597.87,Paid
PAY00243,ORD00243,UPI,50973.05,Failed
PAY00244,ORD00244,Cash on Delivery,27749.3,Paid
PAY00245,ORD00245,Debit Card,98703.73,Paid
PAY00246,ORD00246,Debit Card,74501.74,Paid
PAY00247,ORD00247,Debit Card,106682.73,Paid
PAY00248,ORD00248,UPI,68851.4,Paid
PAY00249,ORD00249,Credit Card,175846.4,Paid
PAY00250,ORD00250,Debit Card,25552.7,Paid
PAY00251,ORD00251,Debit Card,27871.72,Paid
PAY00252,ORD00252,UPI,17637.08,Paid
PAY00253,ORD00253,Credit Card,45317.04,Paid
PAY00254,ORD00254,Debit Card,12075.94,Paid
PAY00255,ORD00255,Credit Card,5945.44,Paid
PAY00256,ORD00256,Debit Card,85876.83,Paid
PAY00257,ORD00257,Debit Card,67358.46,Paid
PAY00258,ORD00258,Debit Card,18274.41,Paid
PAY00259,ORD00259,UPI,5165.9,Paid
PAY00260,ORD00260,UPI,81107.26,Paid
PAY00261,ORD00261,Debit Card,74174.04,Paid
PAY00262,ORD00262,Debit Card,36667.7,Paid
PAY00263,ORD00263,UPI,11550.23,Paid
PAY00264,ORD00264,Cash on Delivery,39036.16,Paid
PAY00265,ORD00265,Credit Card,95032.41,Paid
PAY00266,ORD00266,Net Banking,115353.88,Paid
PAY00267,ORD00267,Credit Card,46328.79,Paid
PAY00268,ORD00268,Credit Card,14492.23,Paid
PAY00269,ORD00269,Debit Card,173907.64,Paid
PAY00270,ORD00270,Credit Card,30920.24,Paid
PAY00271,ORD00271,UPI,31556.14,Paid
PAY00272,ORD00272,Net Banking,16410.09,Paid
PAY00273,ORD00273,Credit Card,52996.9,Paid
PAY00274,ORD00274,UPI,45271.65,Paid
PAY00275,ORD00275,Net Banking,67154.2,Paid
PAY00276,ORD00276,UPI,66016.51,Paid
PAY00277,ORD00277,UPI,136982.93,Paid
PAY00278,ORD00278,Net Banking,62061.61,Paid
PAY00279,ORD00279,Debit Card,69964.49,Paid
PAY00280,ORD00280,Credit Card,6206.45,Paid
PAY00281,ORD00281,Cash on Delivery,56802.81,Paid
PAY00282,ORD00282,Credit Card,130224.79,Paid
PAY00283,ORD00283,UPI,114064.23,Paid
PAY00284,ORD00284,UPI,43694.64,Paid
PAY00285,ORD00285,Debit Card,97019.78,Paid
PAY00286,ORD00286,Credit Card,22907.22,Paid
PAY00287,ORD00287,Credit Card,37536.58,Paid
PAY00288,ORD00288,Credit Card,46327.15,Paid
PAY00289,ORD00289,UPI,25981.48,Paid
PAY00290,ORD00290,Credit Card,22571.56,Paid
PAY00291,ORD00291,Debit Card,78767.8,Paid
PAY00292,ORD00292,Debit Card,25524.54,Paid
PAY00293,ORD00293,UPI,120527.83,Paid
PAY00294,ORD00294,UPI,85747.2,Paid
PAY00295,ORD00295,Debit Card,36540.86,Paid
PAY00296,ORD00296,Debit Card,104544.76,Paid
PAY00297,ORD00297,Debit Card,173199.96,Paid
PAY00298,ORD00298,Cash on Delivery,22139.63,Paid
PAY00299,ORD00299,UPI,6408.79,Paid
PAY00300,ORD00300,Debit Card,140213.82,Paid
PAY00301,ORD00301,Debit Card,31600.5,Paid
PAY00302,ORD00302,Debit Card,229230.28,Paid
PAY00303,ORD00303,UPI,33002.44,Paid
PAY00304,ORD00304,UPI,95466.36,Paid
PAY00305,ORD00305,Cash on Delivery,12280.29,Paid
PAY00306,ORD00306,UPI,63884.51,Paid
PAY00307,ORD00307,UPI,16050.85,Failed
PAY00308,ORD00308,Net Banking,83830.08,Paid
PAY00309,ORD00309,UPI,10423.14,Paid
PAY00310,ORD00310,Credit Card,13339.01,Paid
PAY00311,ORD00311,UPI,22841.7,Paid
PAY00312,ORD00312,Net Banking,107202.71,Paid
PAY00313,ORD00313,Credit Card,92344.99,Paid
PAY00314,ORD00314,Net Banking,137333.56,Paid
PAY00315,ORD00315,UPI,14782.65,Paid
PAY00316,ORD00316,Credit Card,3392.57,Failed
PAY00317,ORD00317,UPI,27010.29,Paid
PAY00318,ORD00318,Credit Card,75883.65,Paid
PAY00319,ORD00319,UPI,4769.16,Paid
PAY00320,ORD00320,Debit Card,23896.19,Paid
PAY00321,ORD00321,Debit Card,29832.34,Paid
PAY00322,ORD00322,Debit Card,36228.23,Paid
PAY00323,ORD00323,UPI,80645.9,Paid
PAY00324,ORD00324,Cash on Delivery,8736.23,Paid
PAY00325,ORD00325,UPI,53937.82,Paid
PAY00326,ORD00326,UPI,33607.54,Paid
PAY00327,ORD00327,Net Banking,145525.69,Paid
PAY00328,ORD00328,Net Banking,136497.06,Paid
PAY00329,ORD00329,Cash on Delivery,25909.55,Paid
PAY00330,ORD00330,Net Banking,11494.81,Paid
PAY00331,ORD00331,Credit Card,27899.89,Paid
PAY00332,ORD00332,Credit Card,83966.83,Paid
PAY00333,ORD00333,Net Banking,61692.82,Paid
PAY00334,ORD00334,Net Banking,15691.98,Paid
PAY00335,ORD00335,Credit Card,39491.81,Paid
PAY00336,ORD00336,UPI,102332.29,Paid
PAY00337,ORD00337,UPI,50616.75,Paid
PAY00338,ORD00338,Net Banking,38573.88,Paid
PAY00339,ORD00339,Debit Card,3590.26,Paid
PAY00340,ORD00340,Credit Card,82436.42,Paid
PAY00341,ORD00341,UPI,24697.96,Failed
PAY00342,ORD00342,Debit Card,25383.73,Paid
PAY00343,ORD00343,Debit Card,38196.66,Paid
PAY00344,ORD00344,UPI,39953.86,Paid
PAY00345,ORD00345,UPI,56573.98,Paid
PAY00346,ORD00346,UPI,133689.49,Paid
PAY00347,ORD00347,Credit Card,30936.81,Paid
PAY00348,ORD00348,Debit Card,28004.23,Paid
PAY00349,ORD00349,Credit Card,40314.79,Paid
PAY00350,ORD00350,Debit Card,49836.21,Paid
PAY00351,ORD00351,UPI,77061.45,Paid
PAY00352,ORD00352,Cash on Delivery,79513.49,Failed
PAY00353,ORD00353,UPI,31736.04,Paid
PAY00354,ORD00354,UPI,27553.07,Paid
PAY00355,ORD00355,UPI,39489.58,Paid
PAY00356,ORD00356,Debit Card,21610.34,Paid
PAY00357,ORD00357,Cash on Delivery,39746.67,Paid
PAY00358,ORD00358,Credit Card,44271.64,Paid
PAY00359,ORD00359,UPI,11081.52,Paid
PAY00360,ORD00360,Cash on Delivery,47120.71,Paid
PAY00361,ORD00361,UPI,119267.24,Paid
PAY00362,ORD00362,UPI,17916.24,Failed
PAY00363,ORD00363,Net Banking,126818.82,Paid
PAY00364,ORD00364,UPI,27605.9,Paid
PAY00365,ORD00365,Credit Card,143319.19,Paid
PAY00366,ORD00366,Debit Card,15224.91,Paid
PAY00367,ORD00367,Cash on Delivery,11381.31,Paid
PAY00368,ORD00368,Debit Card,29962.19,Paid
PAY00369,ORD00369,UPI,10804.19,Paid
PAY00370,ORD00370,Net Banking,95817.52,Paid
PAY00371,ORD00371,UPI,194269.82,Paid
PAY00372,ORD00372,Credit Card,6156.58,Paid
PAY00373,ORD00373,Debit Card,47738.78,Paid
PAY00374,ORD00374,UPI,35393.85,Paid
PAY00375,ORD00375,Net Banking,7017.27,Paid
PAY00376,ORD00376,Debit Card,35679.24,Paid
PAY00377,ORD00377,UPI,13907.16,Paid
PAY00378,ORD00378,Credit Card,158430.03,Paid
PAY00379,ORD00379,Debit Card,115965.45,Paid
PAY00380,ORD00380,Debit Card,1353.34,Paid
PAY00381,ORD00381,UPI,47363.47,Paid
PAY00382,ORD00382,Credit Card,35843.91,Paid
PAY00383,ORD00383,Debit Card,36171.02,Paid
PAY00384,ORD00384,UPI,25535.43,Paid
PAY00385,ORD00385,Credit Card,3108.13,Failed
PAY00386,ORD00386,Cash on Delivery,154272.17,Paid
PAY00387,ORD00387,Cash on Delivery,34604.55,Paid
PAY00388,ORD00388,Net Banking,12290.21,Paid
PAY00389,ORD00389,Debit Card,78992.01,Paid
PAY00390,ORD00390,UPI,41621.42,Paid
PAY00391,ORD00391,Debit Card,72134.31,Paid
PAY00392,ORD00392,Net Banking,78259.69,Paid
PAY00393,ORD00393,UPI,28514.01,Paid
PAY00394,ORD00394,Debit Card,43245.11,Paid
PAY00395,ORD00395,Credit Card,31568.88,Paid
PAY00396,ORD00396,UPI,30219.22,Paid
PAY00397,ORD00397,Credit Card,14040.78,Paid
PAY00398,ORD00398,Credit Card,84590.79,Paid
PAY00399,ORD00399,UPI,7361.05,Paid
PAY00400,ORD00400,Cash on Delivery,38782.59,Paid
PAY00401,ORD00401,UPI,100582.69,Paid
PAY00402,ORD00402,Net Banking,29908.94,Paid
PAY00403,ORD00403,Cash on Delivery,96762.28,Paid
PAY00404,ORD00404,Debit Card,203746.3,Paid
PAY00405,ORD00405,UPI,45183.47,Paid
PAY00406,ORD00406,Debit Card,73518.63,Paid
PAY00407,ORD00407,UPI,3807.67,Paid
PAY00408,ORD00408,Credit Card,99143.5,Paid
PAY00409,ORD00409,UPI,25075.11,Paid
PAY00410,ORD00410,Debit Card,299967.29,Paid
PAY00411,ORD00411,Net Banking,26981.65,Paid
PAY00412,ORD00412,Credit Card,37027.96,Paid
PAY00413,ORD00413,Debit Card,56795.32,Paid
PAY00414,ORD00414,Debit Card,45974.46,Paid
PAY00415,ORD00415,Credit Card,50704.52,Paid
PAY00416,ORD00416,Debit Card,8404.49,Paid
PAY00417,ORD00417,Credit Card,37504.03,Paid
PAY00418,ORD00418,UPI,57234.96,Paid
PAY00419,ORD00419,UPI,57050.79,Paid
PAY00420,ORD00420,UPI,39408.22,Paid
PAY00421,ORD00421,Cash on Delivery,103011.57,Paid
PAY00422,ORD00422,Credit Card,39840.65,Paid
PAY00423,ORD00423,Cash on Delivery,3586.64,Paid
PAY00424,ORD00424,Debit Card,75590.25,Paid
PAY00425,ORD00425,UPI,153260.44,Paid
PAY00426,ORD00426,UPI,216936.17,Paid
PAY00427,ORD00427,Credit Card,3170.13,Paid
PAY00428,ORD00428,Credit Card,88510.32,Paid
PAY00429,ORD00429,UPI,124883.0,Paid
PAY00430,ORD00430,Debit Card,47291.06,Paid
PAY00431,ORD00431,UPI,23451.55,Paid
PAY00432,ORD00432,UPI,30003.14,Paid
PAY00433,ORD00433,Net Banking,6413.52,Paid
PAY00434,ORD00434,UPI,5139.34,Paid
PAY00435,ORD00435,UPI,84630.48,Paid
PAY00436,ORD00436,UPI,31129.42,Paid
PAY00437,ORD00437,Debit Card,18134.72,Paid
PAY00438,ORD00438,Cash on Delivery,95284.19,Paid
PAY00439,ORD00439,Debit Card,36934.97,Paid
PAY00440,ORD00440,Debit Card,77491.47,Paid
PAY00441,ORD00441,UPI,48567.8,Paid
PAY00442,ORD00442,Credit Card,31702.1,Paid
PAY00443,ORD00443,UPI,26681.54,Paid
PAY00444,ORD00444,Net Banking,55528.37,Paid
PAY00445,ORD00445,Net Banking,57130.84,Paid
PAY00446,ORD00446,Net Banking,39341.99,Paid
PAY00447,ORD00447,UPI,39418.42,Paid
PAY00448,ORD00448,Credit Card,25574.41,Paid
PAY00449,ORD00449,UPI,13774.29,Paid
PAY00450,ORD00450,Debit Card,40941.26,Paid
PAY00451,ORD00451,Cash on Delivery,33674.97,Failed
PAY00452,ORD00452,Credit Card,48557.43,Paid
PAY00453,ORD00453,Debit Card,47571.92,Paid
PAY00454,ORD00454,UPI,69672.68,Paid
PAY00455,ORD00455,Credit Card,135588.93,Paid
PAY00456,ORD00456,Debit Card,63907.94,Paid
PAY00457,ORD00457,UPI,35685.99,Paid
PAY00458,ORD00458,Credit Card,142686.3,Paid
PAY00459,ORD00459,Credit Card,5916.38,Paid
PAY00460,ORD00460,UPI,195146.8,Paid
PAY00461,ORD00461,UPI,24284.19,Paid
PAY00462,ORD00462,UPI,47411.25,Paid
PAY00463,ORD00463,Cash on Delivery,41930.96,Paid
PAY00464,ORD00464,Credit Card,111001.82,Paid
PAY00465,ORD00465,UPI,6465.66,Paid
PAY00466,ORD00466,Net Banking,74736.33,Paid
PAY00467,ORD00467,UPI,79043.91,Paid
PAY00468,ORD00468,Credit Card,83891.09,Paid
PAY00469,ORD00469,UPI,85424.77,Paid
PAY00470,ORD00470,Credit Card,47404.98,Paid
PAY00471,ORD00471,Debit Card,56526.56,Paid
PAY00472,ORD00472,Cash on Delivery,59394.66,Paid
PAY00473,ORD00473,UPI,34998.77,Paid
PAY00474,ORD00474,Credit Card,34892.21,Paid
PAY00475,ORD00475,UPI,12043.29,Paid
PAY00476,ORD00476,UPI,53971.23,Paid
PAY00477,ORD00477,Debit Card,18766.95,Paid
PAY00478,ORD00478,Credit Card,48567.88,Paid
PAY00479,ORD00479,UPI,12760.84,Paid
PAY00480,ORD00480,Credit Card,30256.83,Paid
PAY00481,ORD00481,Credit Card,155899.06,Paid
PAY00482,ORD00482,Cash on Delivery,43289.21,Paid
PAY00483,ORD00483,UPI,81473.9,Paid
PAY00484,ORD00484,UPI,52809.39,Paid
PAY00485,ORD00485,Net Banking,173391.84,Paid
PAY00486,ORD00486,Credit Card,11486.23,Paid
PAY00487,ORD00487,UPI,22649.15,Paid
PAY00488,ORD00488,UPI,10316.68,Paid
PAY00489,ORD00489,UPI,172991.49,Paid
PAY00490,ORD00490,UPI,72084.07,Paid
PAY00491,ORD00491,UPI,146175.76,Paid
PAY00492,ORD00492,UPI,33276.29,Paid
PAY00493,ORD00493,Credit Card,30881.94,Paid
PAY00494,ORD00494,Cash on Delivery,38045.2,Paid
PAY00495,ORD00495,Debit Card,85240.59,Paid
PAY00496,ORD00496,Credit Card,22301.62,Paid
PAY00497,ORD00497,UPI,3168.41,Paid
PAY00498,ORD00498,Cash on Delivery,61743.65,Paid
PAY00499,ORD00499,Credit Card,69214.37,Paid
PAY00500,ORD00500,Debit Card,85260.93,Failed
PAY00501,ORD00501,Debit Card,39513.2,Paid
PAY00502,ORD00502,UPI,39671.53,Paid
PAY00503,ORD00503,Net Banking,21680.28,Paid
PAY00504,ORD00504,UPI,228555.92,Paid
PAY00505,ORD00505,Credit Card,29345.32,Paid
PAY00506,ORD00506,Credit Card,12796.27,Paid
PAY00507,ORD00507,Credit Card,47470.28,Paid
PAY00508,ORD00508,Net Banking,87942.19,Paid
PAY00509,ORD00509,Cash on Delivery,36180.83,Paid
PAY00510,ORD00510,UPI,91761.36,Paid
PAY00511,ORD00511,UPI,35127.48,Paid
PAY00512,ORD00512,Credit Card,41440.14,Failed
PAY00513,ORD00513,UPI,128788.13,Paid
PAY00514,ORD00514,Debit Card,1082.04,Paid
PAY00515,ORD00515,UPI,116583.78,Paid
PAY00516,ORD00516,Credit Card,34342.53,Paid
PAY00517,ORD00517,Debit Card,47160.98,Paid
PAY00518,ORD00518,Credit Card,4021.84,Paid
PAY00519,ORD00519,Cash on Delivery,14754.48,Paid
PAY00520,ORD00520,UPI,45110.35,Paid
PAY00521,ORD00521,Debit Card,16573.67,Paid
PAY00522,ORD00522,Credit Card,11501.94,Paid
PAY00523,ORD00523,Credit Card,59825.14,Paid
