product_id,product_name,category,subcategory,unit_price,cost_price
PROD0056,Education Product 56,Books,Education,6887.13,4443.03
PROD0057,Women Product 57,Fashion,Women,41561.59,30542.13
PROD0058,Education Product 58,Books,Education,31678.86,24364.35
PROD0059,Accessories Product 59,Electronics,Accessories,2089.94,1263.22
PROD0060,Kitchen Product 60,Home & Kitchen,Kitchen,15950.89,10108.41
PROD0061,Makeup Product 61,Beauty,Makeup,23801.64,13326.24
PROD0062,Fiction Product 62,Books,Fiction,14484.02,11337.76
PROD0063,Audio Product 63,Electronics,Audio,13842.53,10600.92
PROD0064,Haircare Product 64,Beauty,Haircare,37229.56,29469.14
PROD0065,Haircare Product 65,Beauty,Haircare,48692.75,33304.62
PROD0066,Haircare Product 66,Beauty,Haircare,46234.45,31911.22
PROD0067,Accessories Product 67,Electronics,Accessories,4176.62,2976.52
PROD0068,Appliances Product 68,Home & Kitchen,Appliances,16230.27,9277.52
PROD0069,Education Product 69,Books,Education,15498.17,11045.67
PROD0070,Skincare Product 70,Beauty,Skincare,34565.8,22292.1
PROD0071,Audio Product 71,Electronics,Audio,30838.86,20582.9
PROD0072,Fiction Product 72,Books,Fiction,3983.3,2876.45
PROD0073,Women Product 73,Fashion,Women,47651.27,28045.18
PROD0074,Sportswear Product 74,Sports,Sportswear,39120.27,21883.71
PROD0075,Laptops Product 75,Electronics,Laptops,38981.14,25295.2
PROD0076,Makeup Product 76,Beauty,Makeup,1861.17,1100.75
PROD0077,Haircare Product 77,Beauty,Haircare,18757.67,14181.41
PROD0078,Fitness Product 78,Sports,Fitness,26590.63,17482.52
PROD0079,Education Product 79,Books,Education,12668.18,7355.54
PROD0080,Fiction Product 80,Books,Fiction,25077.44,16412.85
PROD0081,Fitness Product 81,Sports,Fitness,13273.39,8233.19
PROD0082,Skincare Product 82,Beauty,Skincare,49819.16,31241.88
PROD0083,Skincare Product 83,Beauty,Skincare,6351.21,4955.61
PROD0084,Skincare Product 84,Beauty,Skincare,44959.28,30130.81
PROD0085,Audio Product 85,Electronics,Audio,33475.03,24824.28
PROD0086,Sportswear Product 86,Sports,Sportswear,14695.52,9272.7
PROD0087,Furniture Product 87,Home & Kitchen,Furniture,39736.4,27313.37
PROD0088,Laptops Product 88,Electronics,Laptops,39655.27,24345.11
PROD0089,Skincare Product 89,Beauty,Skincare,18204.6,12825.41
PROD0090,Makeup Product 90,Beauty,Makeup,6706.12,5289.43
PROD0091,Audio Product 91,Electronics,Audio,20058.46,14914.91
PROD0092,Makeup Product 92,Beauty,Makeup,20687.06,13664.78
PROD0093,Fitness Product 93,Sports,Fitness,6485.01,4121.86
PROD0094,Accessories Product 94,Electronics,Accessories,23425.2,16156.06
PROD0095,Furniture Product 95,Home & Kitchen,Furniture,38447.14,22485.38
PROD0096,Fitness Product 96,Sports,Fitness,41611.69,28707.39
PROD0097,Women Product 97,Fashion,Women,8307.86,6666.05
PROD0098,Appliances Product 98,Home & Kitchen,Appliances,47387.29,32702.08
PROD0099,Men Product 99,Fashion,Men,12717.61,9175.32
PROD0100,Outdoor Product 100,Sports,Outdoor,6477.22,4092.07
